scenario,category,cat_key,district_id,score
baseline,Land use occupation,land_use,TZ1608,6.254974735830907e-10
baseline,Land use occupation,land_use,TZ1802,7.245230792429636e-10
baseline,Land use occupation,land_use,TZ2001,1.2131095261144903e-08
baseline,Land use occupation,land_use,TZ1304,1.1673486290448925e-08
baseline,Land use occupation,land_use,TZ2501,6.586889323256532e-08
baseline,Land use occupation,land_use,TZ1905,5.806117557132623e-08
baseline,Land use occupation,land_use,TZ1302,5.5585552530720165e-09
baseline,Land use occupation,land_use,TZ1906,1.1620134312570421e-07
baseline,Land use occupation,land_use,TZ0105,8.568992147366022e-11
baseline,Land use occupation,land_use,TZ0602,1.0587887120958717e-10
baseline,Land use occupation,land_use,TZ1606,6.123751305843264e-11
baseline,Land use occupation,land_use,TZ0507,9.600787291248766e-11
baseline,Land use occupation,land_use,TZ1403,1.3667205904810597e-08
baseline,Land use occupation,land_use,TZ2303,1.8583143159502482e-09
baseline,Land use occupation,land_use,TZ2404,9.484265624055177e-07
baseline,Land use occupation,land_use,TZ1607,6.881415418081613e-09
baseline,Land use occupation,land_use,TZ0607,1.2636996785771788e-10
baseline,Land use occupation,land_use,TZ1303,1.6389310118501886e-08
baseline,Land use occupation,land_use,TZ1902,5.042320553277922e-07
baseline,Land use occupation,land_use,TZ1702,7.383000322016225e-07
baseline,Land use occupation,land_use,TZ0504,9.346047018363156e-10
baseline,Land use occupation,land_use,TZ1904,4.789806281096542e-07
baseline,Land use occupation,land_use,TZ2505,7.464707830977243e-08
baseline,Land use occupation,land_use,TZ0506,1.9185147713253052e-09
baseline,Land use occupation,land_use,TZ1305,5.668863442983699e-08
baseline,Land use occupation,land_use,TZ2401,3.286631758322773e-06
baseline,Land use occupation,land_use,TZ1603,1.7901457772875045e-09
baseline,Land use occupation,land_use,TZ1804,2.7921958644153647e-08
baseline,Land use occupation,land_use,TZ1102,1.879882580217437e-10
baseline,Land use occupation,land_use,TZ1101,1.1259913801847828e-10
baseline,Land use occupation,land_use,TZ1301,2.6510773927321455e-08
baseline,Land use occupation,land_use,TZ1701,7.340193271975072e-07
baseline,Land use occupation,land_use,TZ0102,1.6600074595498413e-10
baseline,Land use occupation,land_use,TZ1805,5.2257997578910415e-09
baseline,Land use occupation,land_use,TZ0501,8.64801676976596e-10
baseline,Land use occupation,land_use,TZ2002,6.169515540772196e-08
baseline,Land use occupation,land_use,TZ1903,2.4424212667180645e-07
baseline,Land use occupation,land_use,TZ1404,6.237948240356585e-09
baseline,Land use occupation,land_use,TZ1605,7.083388676316373e-09
baseline,Land use occupation,land_use,TZ0401,6.879376486209634e-09
baseline,Land use occupation,land_use,TZ2003,2.0538083650180304e-07
baseline,Land use occupation,land_use,TZ2103,9.19258168725041e-10
baseline,Land use occupation,land_use,TZ0107,1.9635281623544094e-09
baseline,Land use occupation,land_use,TZ1602,2.7478285589086913e-09
