scenario,category,deterministic,mean,median,sd,p2.5,p50,p97.5,cv_pct,n,varied
baseline,Land use occupation,1.8038201446742312e-05,2.034842497173744e-05,1.9810254584891398e-05,4.399301852548915e-06,1.3371054932669497e-05,1.9810254584891398e-05,3.121198682600828e-05,21.619864233518037,1000,True
baseline,Water consumption,1.8747683803018887e-10,2.0493912617107857e-10,1.9173461305515988e-10,7.27233816943493e-11,1.0388840655591671e-10,1.9173461305515988e-10,3.7992867334560496e-10,35.48535755619523,1000,True
baseline,FW eutrophication N,7.530357885351649e-10,1.0773484284105196e-09,1.0362901084317907e-09,3.0798133452020594e-10,6.512380562829606e-10,1.0362901084317907e-09,1.7961769832972185e-09,28.586975800817783,1000,True
baseline,FW eutrophication P,1.119193235203276e-09,1.612598137602479e-09,1.5110311928095976e-09,5.359487359091153e-10,9.15363163475658e-10,1.5110311928095976e-09,2.958230247212969e-09,33.23510820283682,1000,True
baseline,Climate change rcp26,2.5393450173929955e-10,3.108560105231024e-10,3.072010551318147e-10,3.901631368952561e-11,2.434851876610764e-10,3.072010551318147e-10,3.952223273147393e-10,12.551249571745362,1000,True
baseline,FW ecotoxicity,5.2067198694733115e-06,9.472003503322073e-06,8.918236350898378e-06,7.63076633780602e-06,-3.888909976414244e-06,8.918236350898378e-06,2.5063057756743307e-05,80.56127022260618,1000,True
high_yield,Land use occupation,1.8041863734981005e-05,2.0352088813556394e-05,1.98139183930106e-05,4.399302128029293e-06,1.3374718337571723e-05,1.98139183930106e-05,3.1215651348093834e-05,21.615973516678775,1000,True
high_yield,Water consumption,1.8747684256906294e-10,2.049391311327202e-10,1.9173461769711612e-10,7.272338345500559e-11,1.0388840907108821e-10,1.9173461769711612e-10,3.799286825437994e-10,35.48535755619523,1000,True
high_yield,FW eutrophication N,2.9363749345757908e-09,4.20099412159817e-09,4.040892007625799e-09,1.2009371729350467e-09,2.539426590376249e-09,4.040892007625799e-09,7.003981951608954e-09,28.586975800817786,1000,True
high_yield,FW eutrophication P,4.364163048864473e-09,6.2881377258451506e-09,5.892089310335701e-09,2.0898693771280385e-09,3.5693515370530203e-09,5.892089310335701e-09,1.1535272666810934e-08,33.23510820283682,1000,True
high_yield,Climate change rcp26,9.812509861980345e-10,1.1997321531080797e-09,1.18598575580869e-09,1.521127468323221e-10,9.38732131009626e-10,1.18598575580869e-09,1.5326866492009609e-09,12.678892237592535,1000,True
high_yield,FW ecotoxicity,1.9835435358327204e-05,3.610890392062283e-05,3.389265108126794e-05,2.9282118700393673e-05,-1.5135000071133549e-05,3.389265108126794e-05,9.648170195053691e-05,81.09390073086604,1000,True
extensification,Land use occupation,7.03231130917894e-05,7.93315593772693e-05,7.723302693229789e-05,1.7154562752702743e-05,5.21241214255703e-05,7.723302693229789e-05,0.00012169274753692738,21.623881954875582,1000,True
extensification,Water consumption,1.8747684256906294e-10,2.049391311327202e-10,1.9173461769711612e-10,7.272338345500559e-11,1.0388840907108821e-10,1.9173461769711612e-10,3.799286825437994e-10,35.48535755619523,1000,True
extensification,FW eutrophication N,2.9363749345757908e-09,4.20099412159817e-09,4.040892007625799e-09,1.2009371729350467e-09,2.539426590376249e-09,4.040892007625799e-09,7.003981951608954e-09,28.586975800817786,1000,True
extensification,FW eutrophication P,4.364163048864473e-09,6.2881377258451506e-09,5.892089310335701e-09,2.0898693771280385e-09,3.5693515370530203e-09,5.892089310335701e-09,1.1535272666810934e-08,33.23510820283682,1000,True
extensification,Climate change rcp26,9.81759982794547e-10,1.200379605870628e-09,1.186629661682763e-09,1.52121867346712e-10,9.392888210251308e-10,1.186629661682763e-09,1.5334489267848713e-09,12.67281338359451,1000,True
extensification,FW ecotoxicity,1.9874635745409018e-05,3.617068183653195e-05,3.395241521520863e-05,2.932093719073896e-05,-1.5149756027541722e-05,3.395241521520863e-05,9.664721068790077e-05,81.06271627184303,1000,True
organic_expansion,Land use occupation,1.8038201446742312e-05,2.034842497173744e-05,1.9810254584891398e-05,4.399301852548915e-06,1.3371054932669498e-05,1.9810254584891398e-05,3.121198682600828e-05,21.619864233518037,1000,True
organic_expansion,Water consumption,1.8747683803018887e-10,2.0493912617107857e-10,1.9173461305515988e-10,7.27233816943493e-11,1.0388840655591671e-10,1.9173461305515988e-10,3.7992867334560496e-10,35.48535755619523,1000,True
organic_expansion,FW eutrophication N,1.166465964333148e-09,1.6688319991897596e-09,1.6052319266351767e-09,4.770685997646802e-10,1.0087794057662305e-09,1.6052319266351767e-09,2.782310297103191e-09,28.586975800817783,1000,True
organic_expansion,FW eutrophication P,2.2385121946852407e-09,3.225377757878019e-09,3.0222324378929484e-09,1.0719577877809918e-09,1.8308293424204865e-09,3.0222324378929484e-09,5.916793415269808e-09,33.23510820283682,1000,True
organic_expansion,Climate change rcp26,2.5409441440015206e-10,3.110088794887402e-10,3.0738161649346403e-10,3.901773301938768e-11,2.436108790289326e-10,3.0738161649346403e-10,3.9533871101181476e-10,12.545536668769062,1000,True
